r,fr_para,fr_perp
4.040404040404041,(0.506702087659206 - 0.246098499728267j),(0.289403971510042 + 0.0152649087294274j)
4.141414141414141,(0.358788132741841 + 0.0942337970542946j),(0.164669789482337 - 0.201930571164535j)
4.242424242424242,(0.397432979611713 + 0.216500327868125j),(-0.0977267636798774 + 0.154256226861023j)
4.343434343434343,(0.0305152108351388 - 0.0189865245854811j),(0.223266255301237 - 0.512854129314631j)
4.444444444444445,(0.0114662848332982 + 0.0336186920738061j),(-0.338021021519324 + 0.472942362137187j)
4.545454545454545,(0.46638949488953 - 0.164284967224305j),(-0.028132423772472 - 0.37876404904361j)
4.646464646464646,(0.450785318197499 - 0.355860421196108j),(0.139339759780698 - 0.609596447166725j)
4.747474747474747,(0.17357355933074 - 0.058083658554274j),(-0.193456007595159 - 0.107417265320885j)
4.848484848484849,(0.259388973788183 + 0.121021477089329j),(-0.449908210755594 - 0.489762464468663j)
4.94949494949495,(0.152342601716139 - 0.20968493523648j),(-0.287707393843678 - 0.0520298094215681j)
5.05050505050505,(0.185791944835504 + 0.0363377908652979j),(-0.323269122669008 - 0.0491613589439025j)
5.151515151515151,(0.120351144841668 + 0.00175820815337061j),(-0.105797391606192 - 0.05991957141313j)
5.252525252525253,(0.237211835825028 - 0.147331902799888j),(-0.00113201720740254 - 0.161741148636512j)
5.353535353535354,(-0.0846930969748987 - 0.0899135889436318j),(0.130453235297021 + 0.120660086488441j)
5.454545454545454,(-0.0204738088983088 - 0.0322185767628326j),(-0.206530194458645 - 0.17038355580511j)
5.555555555555555,(0.235459485696948 + 0.0906292821925539j),(-0.18011121899632 - 0.0128272010452066j)
5.656565656565657,(0.306764412181065 - 0.180531657255337j),(-0.113993576871036 + 0.0555214919776879j)
5.757575757575758,(0.286753350622653 + 0.0871514636426174j),(0.151217425433832 - 0.0450927600639098j)
5.858585858585858,(0.471096637306264 + 0.0361823436164874j),(0.0681534212083133 - 0.362022638290506j)
5.959595959595959,(-0.470511628690704 - 0.0243268790615949j),(-0.0884575622271554 + 0.247393403318439j)
6.0606060606060606,(0.0325222668860542 + 0.165862022860319j),(-0.0773530629191607 + 0.600461980646408j)
6.161616161616162,(0.232632661232526 + 0.200211653532779j),(-0.235035491730522 + 0.000952071533826181j)
6.262626262626262,(0.740180953814012 - 0.173477568374468j),(0.121370873728614 + 0.266205538223007j)
6.363636363636363,(0.17607577052945 - 0.202541371897476j),(0.0497838454522434 - 0.545787940429317j)
6.4646464646464645,(0.364010884491471 + 0.10482938143065j),(0.0322283486249005 - 0.0697531025463979j)
6.565656565656566,(-0.519211571176158 - 0.282355018504157j),(-0.124495727049954 - 0.241744028736206j)
6.666666666666667,(0.457896826542417 + 0.0810346284996181j),(-0.515512852557264 - 0.2776701528762j)
6.767676767676767,(0.143581702985265 + 0.10384648085864j),(0.0667484357790764 + 0.136462713262652j)
6.8686868686868685,(0.59889811105822 + 0.0990090452887843j),(-0.175474017508763 - 0.33375200674608j)
6.96969696969697,(0.292440798614115 + 0.0309055090023646j),(0.0535770770521845 - 0.242602669531916j)
7.070707070707071,(-0.0869492923346523 + 0.313645257239561j),(0.0168871434779795 + 0.40656297750089j)
7.171717171717171,(0.525087601694228 - 0.135704587002556j),(-0.0717241511839294 - 0.189724553101543j)
7.2727272727272725,(0.165853809249217 + 0.271876100917799j),(0.439758651304506 + 0.0168455985237526j)
7.373737373737374,(0.111401273179583 + 0.331128056454418j),(0.0348404557976693 + 0.211150454847674j)
7.474747474747475,(0.340015498021776 + 0.0402967503569801j),(-0.211700595017146 + 0.362592107937032j)
7.575757575757575,(0.485663228743797 - 0.0328658457442686j),(-0.258344986763002 + 0.178743635589983j)
7.6767676767676765,(0.302080516790609 + 0.110236803910375j),(-0.413418763798416 - 0.133301650149645j)
7.777777777777778,(0.483728009829526 + 0.338720238525806j),(0.199243692259501 - 0.302166919561624j)
7.878787878787879,(0.196689209839456 + 0.0989606433974591j),(0.197675874032551 + 0.262466199490868j)
7.979797979797979,(0.0830161230735893 + 0.222285593745669j),(0.155014115803137 + 0.00287536183426784j)
8.080808080808081,(0.0453212472860149 + 0.0184743908422046j),(-0.0314347918384977 + 0.295989065313239j)
8.181818181818182,(-0.0464929767758688 - 0.148224049394369j),(-0.0614785728104273 - 0.376305261726756j)
8.282828282828282,(0.178028093061039 - 0.0709370577102691j),(0.319241740195444 + 0.0129334112937761j)
8.383838383838384,(0.281551445941382 + 0.098612003088358j),(-0.299801903883331 - 0.638713597848217j)
8.484848484848484,(0.312300202555825 - 0.168893495458869j),(0.205141280289463 - 0.433831965178858j)
8.585858585858587,(0.128285502922312 - 0.210041624665701j),(-0.0513133281894285 + 0.244428260189741j)
8.686868686868687,(0.370802518033677 - 0.0265442126414947j),(-0.246618612362451 - 0.158077198821274j)
8.787878787878787,(0.306726534876551 - 0.225162038266967j),(0.069803000825273 + 0.050266831315636j)
8.88888888888889,(0.77112325643085 - 0.0433621413548954j),(-0.495210274061146 - 0.208328783456721j)
8.98989898989899,(0.0461949598153229 + 0.197848552472709j),(-0.461263718204229 + 0.230925149614845j)
9.09090909090909,(0.346824424644937 - 0.0850846354702886j),(0.154238550669933 - 0.0237239375921232j)
9.191919191919192,(-0.0115859613749437 - 0.361703442336261j),(0.281118566063641 + 0.111668587488357j)
9.292929292929292,(-0.375729194488318 + 0.0956529178708767j),(-0.00572130184807615 - 0.121450352330059j)
9.393939393939394,(0.278620207637217 - 0.100959531105987j),(-0.607922122446745 - 0.102543862158865j)
9.494949494949495,(0.365605744672248 + 0.0476467723730872j),(-0.0934409812110123 + 0.313006482948433j)
9.595959595959595,(0.208623902383894 + 0.143547834182196j),(-0.0702715594697697 - 0.104918533236853j)
9.696969696969697,(-0.0304768304354315 - 0.154210913682353j),(0.295274959156935 + 0.189659337144646j)
9.797979797979798,(-0.140108233624409 - 0.130608752209152j),(-0.315478486200833 - 0.103497803128693j)
9.8989898989899,(-0.0616924521496434 + 0.0692317623318735j),(-0.18574823199494 + 0.120016795144632j)
10.0,(0.0833593262284321 + 0.168335922637987j),(-0.122727546684265 - 0.171690756892897j)
