eta,U,a_r,s_r,a_R,s_R,E_bi
0.0,32.581639097744365,1e-05,0.23282299756766536,0.027616613420037874,0.23588523029521197,-56.787285039094776
0.0,32.68188721804511,1e-05,0.25442841224997376,0.03074139431152564,0.24908910711024856,-56.70197443115946
0.0,32.78213533834587,1e-05,0.2339268453976585,0.027631623247438047,0.23598579262109964,-57.45856597080652
0.0,32.882383458646615,1e-05,0.23270414596292596,0.02739071887121388,0.23492059988366842,-57.817639632720784
0.0,32.98263157894737,1e-05,0.2324454504912794,0.027285062292977072,0.23446505804914358,-58.157312568886205
0.0,33.082879699248124,1e-05,0.22874975398447112,0.02668821535180047,0.23184897190107578,-58.50484105448244
0.0,33.18312781954887,1e-05,0.2323196063889425,0.027131002273068836,0.23380233518736998,-58.84857280868817
0.0,33.28337593984963,1e-05,0.23464310104349156,0.027397419741099424,0.23496941264463092,-59.16841939422004
0.0,33.383624060150375,1e-05,0.2321262084047011,0.026969851245398455,0.23310649598942418,-59.532416065790564
0.0,33.48387218045113,1e-05,0.22591261174126936,0.026021484376503885,0.22891921998831777,-59.905067687814444
0.0,33.584120300751884,1e-05,0.24073293905061321,0.028072492687564204,0.2379041340028425,-60.05440016779417
0.0,33.68436842105263,1e-05,0.22234117702710127,0.02539343150263715,0.226110358959031,-60.6067401321077
0.0,33.78461654135339,1e-05,0.21410859143843955,0.024191765661052918,0.22063152796350463,-60.917473357647296
0.0,33.884864661654134,1e-05,0.22476075345143445,0.02560722097038363,0.2270811382423179,-61.33100660480319
0.0,33.98511278195489,1e-05,0.23390779941117976,0.02683112803676862,0.23252476991197935,-61.57615497242204
0.0,34.085360902255644,1e-05,0.2184447918988526,0.024608657613271658,0.22256088146040376,-62.07829472829858
0.0,34.18560902255639,1e-05,0.2111613005461544,0.02355558365269538,0.21769045258092154,-62.31899800630637
0.0,34.28585714285715,1e-05,0.2188280930829396,0.02454277492428601,0.22226559587519332,-62.795156592088766
0.0,34.386105263157894,1e-05,0.23325847777416936,0.02648464155226719,0.23101554371943853,-62.97660449104514
