eta,U,a_bi,s_bi,y_bi,E_bi
0.0,6.717624060150377,1e-05,1.1207786018361305,9999.99999676918,-2.3882596794559974
0.0,6.817872180451129,1e-05,1.1042990319126424,9999.999996770397,-2.4600722670711948
0.0,6.918120300751881,1e-05,1.0882970384969075,9999.999996780165,-2.532948587672258
0.0,7.0183684210526325,1e-05,1.0727521035594436,9999.999996773475,-2.606888641260002
0.0,7.118616541353385,1e-05,1.0576450302771425,9999.999996781025,-2.681892427833355
0.0,7.218864661654137,1e-05,1.042957603286399,9999.99999679552,-2.757959947392516
0.0,7.319112781954888,1e-05,1.0286724532544709,9999.999996814382,-2.8350911999375144
0.0,7.41936090225564,1e-05,1.014773393671419,9999.999996810475,-2.9132861854693513
0.0,7.519609022556392,1e-05,1.0012448735045223,9999.999996820849,-2.992544903986604
0.0,7.619857142857144,1e-05,0.988072445548209,9999.999996821622,-3.0728673554900925
0.0,7.720105263157896,1e-05,0.9752418261085285,9999.999996823373,-3.154253539979582
0.0,7.820353383458648,1e-05,0.9627403508575109,9999.999996835708,-3.2367034574544147
0.0,7.9206015037594,1e-05,0.950555214503258,9999.999996821854,-3.320217107916172
0.0,8.020849624060151,1e-05,0.9386747649678283,9999.999996674856,-3.4047944913697625
0.0,8.121097744360902,1e-05,0.9270876345362485,9999.99999665785,-3.49043560780347
0.0,8.221345864661654,1e-05,0.9157831049189478,9999.999996648176,-3.5771404572225953
0.0,8.321593984962407,1e-05,0.9047509093113594,9999.99999663731,-3.6649090396274837
0.0,8.421842105263158,1e-05,0.8939813183485277,9999.999996632774,-3.753741355017732
0.0,8.522090225563911,1e-05,0.8834651525619984,9999.999996636005,-3.8436374033932217
0.0,8.622338345864662,1e-05,0.8731934515979576,9999.999996615306,-3.9345971847555092
0.0,8.722586466165414,1e-05,0.8631578871333755,9999.999996602204,-4.0266206991029865
0.0,8.822834586466167,1e-05,0.853350489198746,9999.999996609831,-4.119707946434867
0.0,8.923082706766918,1e-05,0.8437632754991489,9999.999996595647,-4.2138589267534226
0.0,9.023330827067669,1e-05,0.8343891852618789,9999.999996594779,-4.309073640056666
0.0,9.123578947368422,1e-05,0.8252210920836033,9999.99999657973,-4.405352086346111
0.0,9.223827067669173,1e-05,0.8162522554844023,9999.999996563105,-4.50269426562103
0.0,9.324075187969925,1e-05,0.8074762860864205,9999.999996554889,-4.601100177880777
0.0,9.424323308270678,1e-05,0.7988870529170058,9999.999996552311,-4.700569823125451
0.0,9.524571428571429,1e-05,0.7904785555585323,9999.99999655553,-4.80110320135498
0.0,9.62481954887218,1e-05,0.7822452799125615,9999.999996538214,-4.902700312571007
0.0,9.725067669172933,1e-05,0.774181691079517,9999.999996508377,-5.0053611567730165
0.0,9.825315789473684,1e-05,0.7662827131767561,9999.99999652114,-5.109085733957349
0.0,9.925563909774437,1e-05,0.7585432754931436,9999.999996504297,-5.213874044128711
0.0,10.025812030075189,1e-05,0.7509585836145114,9999.99999647977,-5.319726087285652
0.0,10.12606015037594,1e-05,0.7435240952302485,9999.999996466777,-5.4266418634267914
0.0,10.226308270676693,1e-05,0.7361588345784609,9999.999996462744,-5.53577156780182
0.0,10.326556390977444,1e-05,0.729012311837075,9999.999996457203,-5.644837471086284
0.0,10.426804511278196,1.0244943916890062e-05,0.7211898525970871,9999.999996407267,-5.7580764182353965
0.0,10.527052631578949,1.0147297778510183e-05,0.7151001109314142,9999.999996121467,-5.869528032317891
0.0,10.6273007518797,1e-05,0.7083084848524484,9999.999996409815,-5.9796584692975685
0.0,10.727548872180451,1e-05,0.7015435282996826,9999.999996388637,-6.095537289655287
0.0,10.827796992481204,1e-05,0.6950483636964214,9999.99999637498,-6.2099942538170385
0.0,10.928045112781955,1e-05,0.6886723478031136,9999.999996359838,-6.325515835133661
0.0,11.028293233082708,1e-05,0.6824122691898066,9999.999996344717,-6.442102033605134
0.0,11.12854135338346,1e-05,0.676264953576409,9999.999996357974,-6.55975284923131
0.0,11.22878947368421,1e-05,0.6702274080616051,9999.999996321087,-6.678468282012357
0.0,11.329037593984964,1e-05,0.6642967135392045,9999.999996318955,-6.798248331947996
0.0,11.429285714285715,1e-05,0.6584700682209074,9999.99999630917,-6.919092999038298
0.0,11.529533834586466,1e-05,0.6527447892056579,9999.999996293076,-7.041002283283163
0.0,11.62978195488722,1e-05,0.647118127669296,9999.999996289936,-7.163976184682589
0.0,11.73003007518797,1e-05,0.6415876637700638,9999.999996279144,-7.288014703236476
0.0,11.830278195488722,1e-05,0.6361509507912692,9999.99999624001,-7.413117838944886
0.0,11.930526315789475,1e-05,0.6308056263802051,9999.99999623096,-7.539285591807543
0.0,12.030774436090226,1e-05,0.62554908599648,9999.999996211738,-7.666517961823641
0.0,12.131022556390977,1e-05,0.6203799115300865,9999.999996199274,-7.794814948995903
0.0,12.23127067669173,1e-05,0.6152952358131583,9999.999996202254,-7.924176553321345
0.0,12.331518796992482,1e-05,0.6102932195961833,9999.99999617663,-8.05460277480102
0.0,12.431766917293235,1e-05,0.605371920099061,9999.99999639799,-8.186093613433991
0.0,12.532015037593986,1e-05,0.6005292051864917,9999.999996143908,-8.318649069222245
0.0,12.632263157894737,1e-05,0.595763414110494,9999.999996116516,-8.452269142163596
0.0,12.73251127819549,1e-05,0.5910729098839176,9999.99999611865,-8.58695383226013
0.0,12.832759398496242,1e-05,0.5864554970349818,9999.99999608379,-8.722703139509786
0.0,12.933007518796993,1e-05,0.5819096947928649,9999.999996063318,-8.859517063913245
0.0,13.033255639097746,1e-05,0.577433814154762,9999.999996055329,-8.99739560547041
0.0,13.133503759398497,1e-05,0.5730262938435755,9999.999996041954,-9.136338764181259
0.0,13.233751879699248,1e-05,0.5686856091523214,9999.999996019475,-9.276346540045406
0.0,13.334000000000001,1e-05,0.5644099750797056,9999.999996004575,-9.417418933063939
0.0,13.434248120300753,1e-05,0.5601983742566617,9999.999995989512,-9.559555943235276
