eta,U,a,s_inf,y_inf,E_inf
0.0,0.00016521334063573703,1,202.81937269093123,8001.462058936488,7.201022013757592e-05
0.0,0.00017103410003378413,1,201.63823467092874,7998.657841351155,7.282916411145174e-05
0.0,0.0001770599351226898,1,206.7619313711766,8001.803843908961,6.920836259487484e-05
0.0,0.00018329807108324357,1,203.54571344838726,8005.239398678732,7.139368802269863e-05
0.0,0.00018975598765218503,1,201.95692925191054,8001.828206310726,7.249338302373931e-05
0.0,0.00019644142809066266,1,203.19372962717392,8001.238834188908,7.157002386174096e-05
0.0,0.00020336240846866724,1,200.12625750399616,7999.7852240812135,7.375879941900255e-05
0.0,0.0002105272272765707,1,201.97711425435816,7997.771509523491,7.236274906381016e-05
0.0,0.00021794447537529856,1,201.4402629543577,7998.804272940926,7.27105616364506e-05
0.0,0.0002256230462970635,1,201.1963575341736,8000.602833067042,7.284537773946812e-05
0.0,0.00023357214690901214,1,202.24185418013354,8001.073010291745,7.20433132837538e-05
0.0,0.00024180130845257206,1,202.36467069735548,7999.825811301099,7.190921777029613e-05
0.0,0.00025032039797173256,1,201.274458230301,8001.850702321802,7.264991120124239e-05
0.0,0.00025913963014396573,1,202.6188703363396,8001.012603436121,7.163065686486837e-05
0.0,0.00026826957952797245,1,200.01024318320566,7998.56303130922,7.347888452596413e-05
0.0,0.0002777211932429355,1,201.7937686384197,7998.156502648676,7.211965073996282e-05
0.0,0.000287505804094488,1,201.38488114397157,7999.827604741431,7.236114516614657e-05
0.0,0.00029763514416313193,1,203.24547467938996,8000.401572339089,7.097151411288922e-05
0.0,0.0003081213588714002,1,202.12678039132427,8004.505719690356,7.170994650456128e-05
0.0,0.0003189770215466322,1,201.98323755681452,8002.579460826793,7.175248616817767e-05
0.0,0.00033021514849681757,1,201.85857753699992,8001.531296345526,7.177941879561766e-05
0.0,0.0003418492146175927,1,200.00268533415368,7999.453686846105,7.306938249000538e-05
0.0,0.0003538931695490988,1,203.13369037919756,8000.572268596204,7.073805870931948e-05
0.0,0.00036636145440207163,1,200.0,8000.0,7.293307851045857e-05
0.0,0.000379269019073225,1,201.0297218967435,8000.188791769306,7.210484915745869e-05
0.0,0.00039263134017068394,1,200.28113588445592,8000.198034771567,7.257757133313925e-05
0.0,0.0004064644395709628,1,204.46758487911168,8001.760003050083,6.95152598871663e-05
0.0,0.00042078490362974026,1,200.0,8000.0,7.262603475519443e-05
0.0,0.0004356099030694608,1,206.31515419154297,7998.33913808311,6.809649811418051e-05
0.0,0.0004509572135676144,1,202.15520261603154,7998.150552968215,7.089228776548697e-05
0.0,0.000466845237070379,1,200.9900837995292,8002.055262356537,7.164206229486933e-05
0.0,0.0004832930238571752,1,200.0,8000.0,7.227337926860731e-05
0.0,0.0005003202953826004,1,201.6082394461306,7999.814771156649,7.100804584144767e-05
0.0,0.0005179474679231213,1,205.041857932207,8002.014434504971,6.850665414509249e-05
0.0,0.0005361956770568816,1,201.18347257593967,8000.995040791232,7.11129220933664e-05
0.0,0.0005550868030059805,1,200.56620964084536,7999.837914070874,7.14543161168368e-05
0.0,0.0005746434968715974,1,200.40142204135952,7997.325431045678,7.146433344875077e-05
0.0,0.0005948892077934331,1,200.33453398618624,8003.056116803798,7.139911277615162e-05
0.0,0.0006158482110660261,1,200.01781955169028,7999.835450866428,7.151248205260175e-05
0.0,0.0006375456372456507,1,200.58674725313813,8000.14590184872,7.097551328831469e-05
0.0,0.0006600075022827096,1,200.5814977131026,8004.091194941087,7.085296531962974e-05
0.0,0.0006832607387157406,1,203.611097216609,7998.55926476342,6.857687324631295e-05
0.0,0.0007073332279644439,1,203.7652661640044,8001.7388971283035,6.833697746987474e-05
0.0,0.0007322538337604533,1,200.0,8000.0,7.08688034272908e-05
0.0,0.0007580524367559261,1,203.42283390123612,8000.923312375072,6.829251555405964e-05
0.0,0.0007847599703514606,1,200.71425984138207,8000.0292630147815,7.005549248744384e-05
0.0,0.0008124084577862965,1,200.07971012682654,8000.0804520288075,7.035866972057802e-05
0.0,0.0008410310505352604,1,200.5121777004701,8000.073512291004,6.98845658245429e-05
0.0,0.0008706620680585126,1,201.0106201398217,8001.569144165261,6.93603747750644e-05
0.0,0.0009013370389517438,1,202.70143354212453,8002.998235203541,6.799689198606894e-05
0.0,0.0009330927435461663,1,201.50053859871204,7999.953010010967,6.8662055636568e-05
0.0,0.0009659672580093833,1,204.02631500820112,7998.443517528248,6.67268556227761e-05
0.0,0.0010000000000000002,1,200.88868543365197,8001.298814456741,6.872110396140232e-05
0.0,0.0010352317759307378,1,201.71322746451136,7998.705139740138,6.794048255963421e-05
0.0,0.0010717048298967103,1,200.40681664016574,8001.160305069485,6.866179317351299e-05
0.0,0.0011094628943275218,1,203.31264903927746,8006.234357506462,6.641856727695063e-05
0.0,0.001148551242423938,1,201.7742386945072,7997.45507843755,6.726395210394996e-05
0.0,0.0011890167424419898,1,200.79149919740553,7998.711828679485,6.772818157762774e-05
0.0,0.0012309079138896018,1,202.43153580506743,7997.672351296261,6.634800410219902e-05
0.0,0.0012742749857031334,1,200.60629506425607,7999.790014682359,6.737991786115951e-05
0.0,0.0013191699564735716,1,200.75791855688337,8000.193082592465,6.702043856005635e-05
0.0,0.0013656466567946097,1,204.2903700921016,7998.4960260487715,6.434003563117722e-05
0.0,0.0014137608138073598,1,206.26379557449098,8001.696156879166,6.278009628334811e-05
0.0,0.0014635701180190797,1,201.34260585930718,7999.362401520138,6.580104928560963e-05
