eta,U,a,s,y,ke,eph,coul,E,Einf,dE
0.00022704451583391026,1e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-9.681366780152426e-06,-9.997729554841661e-06,0.03164346194341982
0.00022704451583391026,1.2288774330579116e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.1969621330480867e-05,-1.2285984231761039e-05,0.025749902922903627
0.00022704451583391026,1.510139745479005e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.47816057084716e-05,-1.5097968765316514e-05,0.02095401452754841
0.00022704451583391026,1.8557766539829677e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.8237189852695768e-05,-1.8553553100710682e-05,0.01705135648668805
0.00022704451583391026,2.2805220508753942e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.248367922556563e-05,-2.280004270850505e-05,0.013875565365559825
0.00022704451583391026,2.802482083911719e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.7702094185605607e-05,-2.801845795723844e-05,0.011291262785256263
0.00022704451583391026,3.44390698946822e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-3.411488656633053e-05,-3.443125069273219e-05,0.009188284481006058
0.00022704451583391026,4.2321395809079146e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-4.1995422405889204e-05,-4.231178696825826e-05,0.00747698419370446
0.00022704451583391026,5.200780824528904e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-5.167963505952684e-05,-5.1996000157646406e-05,0.006084412207869436
0.00022704451583391026,6.391122189543889e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-6.358034544651602e-05,-6.389671120300729e-05,0.0049512056338258245
0.00022704451583391026,7.85390583064617e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-7.820485987844504e-05,-7.852122644399446e-05,0.004029057872332951
0.00022704451583391026,9.65148763664303e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-9.617659563327223e-05,-9.649296319305492e-05,0.003278659389387043
0.00022704451583391026,0.00011860495352108069,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00011826165613525946,-0.00011857802491683299,0.002668022020061666
0.00022704451583391026,0.00014575095083093872,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00014540148859387028,-0.000145717858876875,0.0021711153694073384
0.00022704451583391026,0.00017911005432287385,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00017875301623922953,-0.00017906938836730914,0.0017667571825881708
0.00022704451583391026,0.00022010430379115656,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00021973795592061877,-0.00022005433031606933,0.0014377103826865875
0.00022704451583391026,0.0002704812118478755,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00027010342339031787,-0.00027041980057208935,0.0011699482844901381
0.00022704451583391026,0.0003323882573060108,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0003319964097692435,-0.00033231279037506187,0.000952056661620844
0.00022704451583391026,0.0004084644284168036,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0004080553039948659,-0.00040837168880841833,0.0007747471781787937
0.00022704451583391026,0.0005019527182883087,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0005015223626920716,-0.0005018387526764134,0.0006304614433509092
