eta,U,a,s,y,E,Einf,Ebind
0.032542373,0.754753769,1,148.4131591,1.000026912,-0.729941111,-0.730050113,0.000149308
0.033898305,0.754753769,1,148.4131591,1.000027956,-0.728912708,-0.729026713,0.000156379
0.035254237,0.754753769,1,148.4131591,1.000028988,-0.727884306,-0.728003312,0.000163469
0.036610169,0.754753769,1,148.4131591,1.000030043,-0.726855904,-0.726979911,0.000170578
0.037966102,0.754753769,1,148.4131591,1.000031076,-0.725827502,-0.72595651,0.000177708
0.039322034,0.754753769,1,148.4131591,1.000032108,-0.724799099,-0.724933109,0.000184859
0.040677966,0.754753769,1,148.4131591,1.000033152,-0.723770697,-0.723909709,0.000192029
0.042033898,0.754753769,1,148.4131591,1.000034184,-0.722742295,-0.722886308,0.00019922
0.043389831,0.754753769,1,148.4131591,1.000035228,-0.721713892,-0.721862907,0.000206431
0.044745763,0.754753769,1,148.4131591,1.000036272,-0.72068549,-0.720839506,0.000213662
0.046101695,0.754753769,1,148.4131591,1.000037315,-0.719657088,-0.719816105,0.000220914
0.047457627,0.754753769,1,148.4131591,1.000038348,-0.718628685,-0.718792704,0.000228187
0.048813559,0.754753769,1,148.4131591,1.000039391,-0.717600283,-0.717769304,0.00023548
0.050169492,0.754753769,1,148.4131591,1.000040424,-0.716571881,-0.716745903,0.000242795
0.051525424,0.754753769,1,148.4131591,1.000041468,-0.715543479,-0.715722502,0.00025013
0.052881356,0.754753769,1,148.4131591,1.000042511,-0.714515076,-0.714699101,0.000257486
0.054237288,0.754753769,1,148.4131591,1.000043555,-0.713486674,-0.7136757,0.000264863
0.05559322,0.754753769,1,148.4131591,1.000044588,-0.712458272,-0.7126523,0.000272262
0.056949153,0.754753769,1,148.4131591,1.000045631,-0.711429869,-0.711628899,0.000279681
0.058305085,0.754753769,1,148.4131591,1.000046664,-0.710401467,-0.710605498,0.000287122
0.059661017,0.754753769,1,148.4131591,2.718281828,-0.709474226,-0.709582097,0.00015202
0.061016949,0.754753769,1,148.4131591,2.718281828,-0.708448239,-0.708558696,0.00015589
0.062372881,0.754753769,1,148.4131591,2.718281828,-0.707422251,-0.707535295,0.000159771
0.063728814,0.754753769,1,148.4131591,2.718281828,-0.706396264,-0.706511895,0.000163664
0.065084746,0.754753769,1,148.4131591,2.718281828,-0.705370277,-0.705488494,0.000167568
0.066440678,0.754753769,1,148.4131591,2.718281828,-0.704344289,-0.704465093,0.000171483
0.06779661,0.754753769,1,148.4131591,2.718281828,-0.703318302,-0.703441692,0.000175409
0.069152542,0.754753769,1,148.4131591,2.718281828,-0.702292315,-0.702418291,0.000179347
0.070508475,0.754753769,1,148.4131591,2.718281828,-0.701266327,-0.701394891,0.000183296
0.071864407,0.754753769,1,148.4131591,2.718281828,-0.70024034,-0.70037149,0.000187257
0.073220339,0.754753769,1,148.4131591,2.718281828,-0.699214353,-0.699348089,0.00019123
0.074576271,0.754753769,1,148.4131591,2.718281828,-0.698188365,-0.698324688,0.000195214
0.075932203,0.754753769,1,148.4131591,2.718281828,-0.697162378,-0.697301287,0.00019921
0.077288136,0.754753769,1,148.4131591,2.718281828,-0.69613639,-0.696277886,0.000203218
0.078644068,0.754753769,1,148.4131591,2.718281828,-0.695110403,-0.695254486,0.000207237
0.08,0.754753769,1,148.4131591,2.718281828,-0.694084416,-0.694231085,0.000211268
0,1.006005025,1,148.4131591,1,-1.005874023,-1.005861047,-1.29011E-05
0.001355932,1.006005025,1,148.4131591,1,-1.004503274,-1.004496964,-6.28196E-06
0.002711864,1.006005025,1,148.4131591,1,-1.003132525,-1.003132882,3.55212E-07
0.004067797,1.006005025,1,148.4131591,1,-1.001761776,-1.001768799,7.01046E-06
0.005423729,1.006005025,1,148.4131591,1,-1.000391027,-1.000404717,1.36839E-05
0.006779661,1.006005025,1,148.4131591,1,-0.999020278,-0.999040634,2.03755E-05
0.008135593,1.006005025,1,148.4131591,1.000010281,-0.99764953,-0.997676552,2.70853E-05
0.009491525,1.006005025,1,148.4131591,1.000011657,-0.996278781,-0.99631247,3.38135E-05
0.010847458,1.006005025,1,148.4131591,1.000013045,-0.994908032,-0.994948387,4.05603E-05
0.01220339,1.006005025,1,148.4131591,1.000014433,-0.993537283,-0.993584305,4.73255E-05
0.013559322,1.006005025,1,148.4131591,1.000015821,-0.992166534,-0.992220222,5.41093E-05
0.014915254,1.006005025,1,148.4131591,1.000017198,-0.990795785,-0.99085614,6.09118E-05
0.016271186,1.006005025,1,148.4131591,1.000018585,-0.989425036,-0.989492057,6.77331E-05
